lineup_id,participant_id,nplots,vis,rep,detected
L001,P18598,8,violin,1,no
L001,P13742,8,violin,2,yes
L001,P8935,8,violin,3,yes
L001,P13196,8,violin,4,yes
L001,P9204,8,violin,5,yes
L001,P17478,8,violin,6,no
L001,P20672,8,violin,7,no
L001,P1787,8,violin,8,no
L001,P6766,8,violin,9,yes
L001,P4421,8,violin,10,yes
L001,P20975,8,violin,11,no
L001,P16487,8,violin,12,yes
L001,P361,8,violin,13,yes
L001,P2995,8,violin,14,yes
L001,P9148,8,violin,15,no
L001,P17596,8,violin,16,yes
L001,P4733,8,violin,17,no
L001,P20644,8,violin,18,yes
L001,P2149,8,violin,19,yes
L001,P3426,8,violin,20,yes
L001,P14739,8,violin,21,yes
L001,P15733,8,violin,22,yes
L001,P11337,8,violin,23,yes
L001,P8875,8,violin,24,yes
L001,P19259,8,violin,25,yes
L001,P1094,8,violin,26,yes
L001,P3414,8,violin,27,yes
L001,P21190,8,violin,28,no
L001,P2751,8,violin,29,yes
L001,P10319,8,violin,30,no
L001,P4770,8,violin,31,yes
L001,P2045,8,violin,32,yes
L001,P12283,8,violin,33,yes
L001,P17265,8,violin,34,yes
L001,P1624,8,violin,35,yes
L001,P1553,8,violin,36,yes
L001,P4838,8,violin,37,yes
L001,P7620,8,violin,38,no
L001,P5086,8,violin,39,yes
L001,P11720,8,violin,40,no
L001,P17875,8,violin,41,yes
L001,P3139,8,violin,42,no
L001,P3714,8,violin,43,yes
L001,P11025,8,violin,44,no
L001,P6504,8,violin,45,yes
L001,P4777,8,violin,46,no
L001,P18943,8,violin,47,no
L001,P12657,8,violin,48,no
L001,P3037,8,violin,49,no
L001,P10635,8,violin,50,yes
L001,P14244,8,violin,51,yes
L001,P21102,8,violin,52,yes
L001,P14034,8,violin,53,no
L001,P11849,8,violin,54,yes
L001,P1552,8,violin,55,no
L001,P15340,8,violin,56,yes
L001,P8037,8,violin,57,yes
L001,P14975,8,violin,58,yes
L001,P16746,8,violin,59,yes
L001,P12798,8,violin,60,yes
L001,P20214,8,violin,61,no
L001,P18732,8,violin,62,yes
L001,P790,8,violin,63,no
L001,P1144,8,violin,64,yes
L001,P15387,8,violin,65,yes
L001,P11041,8,violin,66,no
L001,P8622,8,violin,67,yes
L001,P2709,8,violin,68,yes
L001,P13171,8,violin,69,yes
L001,P10841,8,violin,70,yes
L001,P10335,8,violin,71,yes
L001,P3977,8,violin,72,yes
L001,P16919,8,violin,73,yes
L001,P4331,8,violin,74,yes
L001,P3030,8,violin,75,yes
L001,P420,8,violin,76,no
L001,P16990,8,violin,77,yes
L001,P14768,8,violin,78,yes
L001,P9991,8,violin,79,no
L001,P20765,8,violin,80,yes
L001,P14721,8,violin,81,yes
L001,P5997,8,violin,82,yes
L001,P13937,8,violin,83,no
L001,P10660,8,violin,84,yes
L001,P14206,8,violin,85,yes
L001,P14025,8,violin,86,yes
L001,P3187,8,violin,87,yes
L001,P3401,8,violin,88,yes
L001,P9537,8,violin,89,yes
L001,P16208,8,violin,90,yes
L001,P5317,8,violin,91,yes
L001,P9786,8,violin,92,yes
L001,P2368,8,violin,93,no
L001,P10412,8,violin,94,no
L001,P6713,8,violin,95,yes
L001,P5367,8,violin,96,no
